date,lat,lon,precip
1987-09-01,-2,-60,0
1987-09-02,-2,-60,0
1987-09-03,-2,-60,21
1987-09-04,-2,-60,0
1987-09-05,-2,-60,0
1987-09-06,-2,-60,4.300000190734863
1987-09-07,-2,-60,0
1987-09-08,-2,-60,0
1987-09-09,-2,-60,0
1987-09-10,-2,-60,6.400000095367432
1987-09-11,-2,-60,5.199999809265137
1987-09-12,-2,-60,22.299999237060547
1987-09-13,-2,-60,0
1987-09-14,-2,-60,0
1987-09-15,-2,-60,0
1987-09-16,-2,-60,0
1987-09-17,-2,-60,9.300000190734863
1987-09-18,-2,-60,8
1987-09-19,-2,-60,0
1987-09-20,-2,-60,23.299999237060547
1987-09-21,-2,-60,18.399999618530273
1987-09-22,-2,-60,0
1987-09-23,-2,-60,14.300000190734863
1987-09-24,-2,-60,25
1987-09-25,-2,-60,0
1987-09-26,-2,-60,24
1987-09-27,-2,-60,18
1987-09-28,-2,-60,0
1987-09-29,-2,-60,0
1987-09-30,-2,-60,0
1987-10-01,-2,-60,0
1987-10-02,-2,-60,0
1987-10-03,-2,-60,24.299999237060547
1987-10-04,-2,-60,16
1987-10-05,-2,-60,0
1987-10-06,-2,-60,0
1987-10-07,-2,-60,0
1987-10-08,-2,-60,0
1987-10-09,-2,-60,13.399999618530273
1987-10-10,-2,-60,24.200000762939453
1987-10-11,-2,-60,5.300000190734863
1987-10-12,-2,-60,3.0999999046325684
1987-10-13,-2,-60,0
1987-10-14,-2,-60,0
1987-10-15,-2,-60,0
1987-10-16,-2,-60,5.300000190734863
1987-10-17,-2,-60,23.200000762939453
1987-10-18,-2,-60,0
1987-10-19,-2,-60,0
1987-10-20,-2,-60,0
1987-10-21,-2,-60,0
1987-10-22,-2,-60,0
1987-10-23,-2,-60,0
1987-10-24,-2,-60,0
1987-10-25,-2,-60,0
1987-10-26,-2,-60,0
1987-10-27,-2,-60,0
1987-10-28,-2,-60,0
1987-10-29,-2,-60,0
1987-10-30,-2,-60,0
1987-10-31,-2,-60,0
1987-11-01,-2,-60,12.300000190734863
1987-11-02,-2,-60,18
1987-11-03,-2,-60,9.199999809265137
1987-11-04,-2,-60,0
1987-11-05,-2,-60,0
1987-11-06,-2,-60,0
1987-11-07,-2,-60,0
1987-11-08,-2,-60,0
1987-11-09,-2,-60,4.199999809265137
1987-11-10,-2,-60,0
1987-11-11,-2,-60,0
1987-11-12,-2,-60,0
1987-11-13,-2,-60,0
1987-11-14,-2,-60,0
1987-11-15,-2,-60,0
1987-11-16,-2,-60,0
1987-11-17,-2,-60,0
1987-11-18,-2,-60,0
1987-11-19,-2,-60,0
1987-11-20,-2,-60,0
1987-11-21,-2,-60,24.299999237060547
1987-11-22,-2,-60,0
1987-11-23,-2,-60,0
1987-11-24,-2,-60,0
1987-11-25,-2,-60,0
1987-11-26,-2,-60,0
1987-11-27,-2,-60,0
1987-11-28,-2,-60,0
1987-11-29,-2,-60,0
1987-11-30,-2,-60,0
1987-12-01,-2,-60,0
1987-12-02,-2,-60,0
1987-12-03,-2,-60,0
1987-12-04,-2,-60,0
1987-12-05,-2,-60,0
1987-12-06,-2,-60,5.449999809265137
1987-12-07,-2,-60,0
1987-12-08,-2,-60,0
1987-12-09,-2,-60,0
1987-12-10,-2,-60,0
1987-12-11,-2,-60,22.600000381469727
1987-12-12,-2,-60,0
1987-12-13,-2,-60,0
1987-12-14,-2,-60,0
1987-12-15,-2,-60,3.6500000953674316
1987-12-16,-2,-60,7.599999904632568
1987-12-17,-2,-60,0
1987-12-18,-2,-60,10.949999809265137
1987-12-19,-2,-60,2.6500000953674316
1987-12-20,-2,-60,0
1987-12-21,-2,-60,0
1987-12-22,-2,-60,0
1987-12-23,-2,-60,0
1987-12-24,-2,-60,8
1987-12-25,-2,-60,7.949999809265137
1987-12-26,-2,-60,14.59999942779541
1987-12-27,-2,-60,33.099998474121094
1987-12-28,-2,-60,19.600000381469727
1987-12-29,-2,-60,17.75
1987-12-30,-2,-60,13.100000381469727
1987-12-31,-2,-60,15.449999809265137
1988-01-01,-2,-60,25.200000762939453
1988-01-02,-2,-60,18
1988-01-03,-2,-60,9.300000190734863
1988-01-04,-2,-60,0
1988-01-05,-2,-60,5.300000190734863
1988-01-06,-2,-60,4.199999809265137
1988-01-07,-2,-60,25
1988-01-08,-2,-60,42
1988-01-09,-2,-60,15.399999618530273
1988-01-10,-2,-60,4.300000190734863
1988-01-11,-2,-60,8.199999809265137
1988-01-12,-2,-60,6.400000095367432
1988-01-13,-2,-60,14
1988-01-14,-2,-60,5.300000190734863
1988-01-15,-2,-60,9.199999809265137
1988-01-16,-2,-60,24.200000762939453
1988-01-17,-2,-60,9.300000190734863
1988-01-18,-2,-60,48.20000076293945
1988-01-19,-2,-60,8.300000190734863
1988-01-20,-2,-60,23
1988-01-21,-2,-60,16
1988-01-22,-2,-60,8.300000190734863
1988-01-23,-2,-60,13
1988-01-24,-2,-60,5.300000190734863
1988-01-25,-2,-60,8.199999809265137
1988-01-26,-2,-60,6
1988-01-27,-2,-60,0
1988-01-28,-2,-60,0
1988-01-29,-2,-60,0
1988-01-30,-2,-60,19.299999237060547
1988-01-31,-2,-60,15.300000190734863
1988-02-01,-2,-60,25.299999237060547
1988-02-02,-2,-60,8.399999618530273
1988-02-03,-2,-60,9.300000190734863
1988-02-04,-2,-60,8.199999809265137
1988-02-05,-2,-60,15
1988-02-06,-2,-60,8.100000381469727
1988-02-07,-2,-60,45
1988-02-08,-2,-60,8.399999618530273
1988-02-09,-2,-60,22
1988-02-10,-2,-60,15.300000190734863
1988-02-11,-2,-60,9.199999809265137
1988-02-12,-2,-60,5.300000190734863
1988-02-13,-2,-60,9
1988-02-14,-2,-60,6.199999809265137
1988-02-15,-2,-60,0
1988-02-16,-2,-60,18
1988-02-17,-2,-60,0
1988-02-18,-2,-60,0
1988-02-19,-2,-60,0
1988-02-20,-2,-60,0
1988-02-21,-2,-60,0
1988-02-22,-2,-60,0
1988-02-23,-2,-60,0
1988-02-24,-2,-60,4.300000190734863
1988-02-25,-2,-60,8.199999809265137
1988-02-26,-2,-60,18
1988-02-27,-2,-60,22.299999237060547
1988-02-28,-2,-60,16.200000762939453
