"Data","Precipitacao","Umidade","Radiacao","Temperatura_Maxima","Temperatura_Minima","Velocidade_do_Vento","Evatotranspiracao"
"1980-01-01",7.32,87.66,16.11,31.11,23.17,0.84,3.52
"1980-01-02",8.68,92.67,13.04,28.84,22.36,1.28,2.47
"1980-01-03",15.86,90.7,16.47,31.64,22.2,0.82,3.44
"1980-01-04",12.08,87.25,15.55,31.22,22.53,0.78,3.31
"1980-01-05",4.09,93.04,10.28,27.7,22.36,1.32,2.12
"1980-01-06",25.94,86.93,16.33,31.69,21,0.77,3.13
"1980-01-07",5.89,89.84,10.84,29.16,21.91,1.07,2.43
"1980-01-08",6.16,83.84,21.06,31.45,21.97,0.65,4.31
"1980-01-09",4.5,85.75,11.54,29.7,21.58,0.72,2.35
"1980-01-10",11.91,88.92,12.58,29.97,21.33,0.81,2.32
"1980-01-11",0.76,85.59,15.13,30.98,21.2,0.75,3.51
"1980-01-12",0,88,17.8,31.7,22.53,0.94,3.26
"1980-01-13",0,86.83,13.14,31.03,22.56,1.15,2.94
"1980-01-14",10.87,85.58,16.14,31.39,22.41,1.37,3.61
"1980-01-15",17.27,85.48,16.39,31.59,22.86,1.06,3.6
"1980-01-16",1.12,90.66,10.48,27.98,21.92,0.89,2.17
"1980-01-17",16.77,84.72,18.01,32.38,21.72,0.92,3.82
"1980-01-18",7.96,86.54,17.27,31.84,22.05,0.95,3.75
"1980-01-19",9.06,93.62,11.63,28.91,22.58,0.82,2.45
"1980-01-20",10.57,85.28,16.8,30.94,22.19,1.22,3.61
"1980-01-21",1.63,85.75,23.47,32.47,21.75,0.78,4.45
"1980-01-22",1.88,89.05,18.08,32.44,21.94,0.98,3.94
"1980-01-23",2.47,88.17,13.08,29.44,22.02,1.36,2.95
"1980-01-24",5.52,88.33,11.37,29.98,21.42,1.03,2.74
"1980-01-25",0.43,83.14,21.26,32.25,21.89,1.13,4.67
"1980-01-26",1.16,84.92,20.76,31.98,22.02,0.9,4.38
"1980-01-27",0.78,84.56,24.23,32.06,23.48,0.85,4.36
"1980-01-28",1.32,85.03,12.62,30.97,23.11,1.35,3.03
"1980-01-29",1.58,89.1,12.89,29.8,22.34,1.63,2.35
"1980-01-30",1.12,85.73,11.51,30.36,22.14,1.16,2.62
"1980-01-31",0,83.53,12.79,32.44,22.53,0.82,3.03
"1980-02-01",7.36,88.35,9.75,29,21.11,1.12,2.2
"1980-02-02",30.25,88.48,12.94,31.31,21.52,0.79,2.87
"1980-02-03",18.19,93.09,10.53,29.28,22.42,1.17,2.28
"1980-02-04",5.34,88.82,11.74,29.94,21.47,0.76,2.43
"1980-02-05",17.78,80.62,21.58,32.5,22.5,0.93,4.96
"1980-02-06",0.67,76.78,23.37,32.97,22.81,1.58,5.38
"1980-02-07",0,74.09,25.67,33.34,22.52,1.31,5.86
"1980-02-08",0,78.55,21.39,32.53,22.56,1.36,4.68
"1980-02-09",0,75.36,19.23,32.91,22.89,0.75,4.49
"1980-02-10",0,79.29,14.28,32.5,22.03,1.52,3.66
"1980-02-11",0.4,84.83,20.34,31.98,22.39,1.17,4.39
"1980-02-12",1.92,85.69,15.6,31.02,23.06,1.11,3.58
"1980-02-13",3.88,83.77,13.11,31.55,22.53,0.73,3.04
"1980-02-14",11.88,93.19,10.52,28.14,21.56,1.03,2.09
"1980-02-15",1.05,87.8,10.51,30.39,21.53,1.21,2.39
"1980-02-16",2.52,84.8,17.08,31.66,22.52,1.46,3.95
"1980-02-17",4.85,87.25,13.24,30.95,21.98,1.01,2.91
"1980-02-18",2.88,80.05,20.94,32.62,22.23,0.88,4.37
"1980-02-19",0,84.91,22.83,31.58,22.12,1.04,4.49
"1980-02-20",0,76.6,25.54,33.34,21.88,1.56,5.76
"1980-02-21",0,76.17,25.17,33.75,22.67,1.54,5.82
"1980-02-22",0,83.74,21.53,32.94,22.77,1.14,4.49
"1980-02-23",0.08,79.1,23.12,32.16,22.62,0.99,4.66
"1980-02-24",14.95,87.34,14.48,30.83,22.17,1.5,3.07
"1980-02-25",5.73,84.22,19.37,31.94,22.17,1.28,4.3
"1980-02-26",0,83.31,19.05,32.69,22.89,1.4,4.22
"1980-02-27",0.17,86.92,12.73,30.62,22.23,1.55,2.78
"1980-02-28",0,77.29,22.63,32.91,22.84,1.78,5.32
"1980-02-29",0.03,77.88,20.27,32.81,23.11,1.41,5.09
"1980-03-01",0,80.9,18.57,32.5,22.42,1.35,4.19
"1980-03-02",0.85,80.03,14.77,31.92,23.03,1.21,3.55
"1980-03-03",0,80.54,17.2,32.31,23.39,1.24,3.53
"1980-03-04",18.77,87.2,14.86,32.22,22.75,1.39,3.57
"1980-03-05",21.94,86.07,15.41,30.38,21.83,1.04,3.49
"1980-03-06",0.65,86.6,18.19,32.31,22.11,1.02,3.24
"1980-03-07",1.62,88.09,10.87,29,22.83,2.23,2.46
"1980-03-08",12.89,88.46,12.78,29.86,21.23,1.57,3.03
"1980-03-09",0.94,90.56,14.9,30.28,21.72,0.96,3.07
"1980-03-10",5.79,88.87,15.72,30.36,21.98,1.32,3.04
"1980-03-11",2.88,85.29,20.35,32.09,22.48,1.26,4.42
"1980-03-12",1.76,87.77,13.14,31.95,22.16,1,3.1
"1980-03-13",3.39,89.96,14.43,30.77,22.03,0.53,3.04
"1980-03-14",4.8,88.44,13.42,30.27,22.91,0.8,2.83
"1980-03-15",4.27,86.32,20.33,32.47,23.16,0.97,4.31
"1980-03-16",1.48,89.53,15.84,31.81,22.28,0.57,3.36
"1980-03-17",4.46,91.43,10.14,28.58,22.36,1.13,2.19
"1980-03-18",18.89,86.82,15.56,31.08,21.95,1.38,3.56
"1980-03-19",2.88,84.55,18.46,31.88,22.92,1.52,4.15
"1980-03-20",11.12,94.22,9.56,27.88,22.28,0.92,2.09
"1980-03-21",16.92,88.28,15.41,29.78,22.05,1.22,3.25
"1980-03-22",11.9,87.43,15.04,30.64,22.27,1.08,3.06
"1980-03-23",7.57,88.53,18.78,32.53,22.33,0.6,4.06
"1980-03-24",5.12,87.18,19.11,31.84,22.48,1.2,4.18
"1980-03-25",2.37,87.68,20.75,32.78,23.59,1.02,4.56
"1980-03-26",3.53,88.75,10.64,30.25,23.59,0.76,2.48
"1980-03-27",19.09,89.2,15.24,31.53,23.12,1.01,3.53
"1980-03-28",3.01,86.84,19.16,32.44,23.06,0.59,4.02
"1980-03-29",3.61,86.29,11.86,29.95,22.72,1.01,2.67
"1980-03-30",14.09,86.36,15.97,31.23,22.16,1.43,3.72
"1980-03-31",2.21,88.76,13.61,31.39,22.78,1.1,3.21
"1980-04-01",5.14,93.87,14.15,30.44,22.39,0.99,2.33
"1980-04-02",18.98,88.27,10.63,29.47,23.08,1.08,2.48
"1980-04-03",6.37,91.97,11.51,29.98,22.36,1.18,2.42
"1980-04-04",8.67,88.22,11.49,30.19,22.44,1.35,2.59
"1980-04-05",1.81,87.4,14.51,31.12,22.86,0.4,3.01
"1980-04-06",18.52,91.97,11.47,28.89,22.75,1.5,2.5
"1980-04-07",23.28,88.39,11.36,30.06,21.98,1.07,2.53
"1980-04-08",0.73,86.2,20.52,32.44,23.14,1.26,4.54
"1980-04-09",1.63,82.29,22.64,32.75,22.66,1.53,5.14
"1980-04-10",0.02,85.53,16.44,32.72,23.12,1.36,3.86
"1980-04-11",4.36,84.46,17.69,32.5,22.2,1.28,4.02
"1980-04-12",26.86,93.75,9.6,28.14,22.06,1.46,2.03
"1980-04-13",15.95,91.69,10.43,29.28,21.62,0.73,2.2
"1980-04-14",13.89,82.59,21.07,31.47,20.89,1.12,4.46
"1980-04-15",0.71,87.47,18.03,30.3,21.59,1.02,3.63
"1980-04-16",1.18,87.37,17.58,31.3,22.66,1.09,3.97
"1980-04-17",11.19,86.56,18.31,31.8,21.83,0.94,3.98
"1980-04-18",4.41,88.91,13.77,31.28,21.72,1.36,3.11
"1980-04-19",9.05,90.18,11.6,29.58,22.25,1.09,2.45
"1980-04-20",6.62,84.68,19.07,32.16,22.12,0.78,4.14
"1980-04-21",2.08,84.63,16.83,32.31,23.39,0.72,3.79
"1980-04-22",17.48,90.4,10.05,31.08,22.52,0.83,2.22
"1980-04-23",6.03,89.82,10.35,29.98,23.48,1.32,2.65
"1980-04-24",18.77,90.51,12.3,29.94,22.59,0.77,2.75
"1980-04-25",13.22,92.69,10.61,27.98,22.17,0.63,1.96
"1980-04-26",11.91,87.25,17.22,31.5,22.05,0.49,3.51
"1980-04-27",6.39,92.87,13.05,30.42,22.22,1.21,2.78
"1980-04-28",12.92,89.06,15.13,30.33,22.69,0.88,3.53
"1980-04-29",6.28,81,20.95,31.73,22.73,1.58,4.83
"1980-04-30",0.16,86.93,15.74,32.09,22.8,1.28,3.66
"1980-05-01",1.08,85.76,16.82,32.41,22.73,1.04,3.66
"1980-05-02",3.13,87.05,13.77,31.12,22,1.35,3.21
"1980-05-03",10.02,89.64,12,29.09,23.08,0.5,2.73
"1980-05-04",7.38,89.66,12.8,29.47,22.48,1.28,3.1
"1980-05-05",1.03,88.01,14.77,30.53,22.73,0.85,3.12
"1980-05-06",5.44,92.57,12.54,29.91,22.3,0.91,2.62
"1980-05-07",1.71,86.83,18.22,32.06,22.69,1.27,4.01
"1980-05-08",3.33,83.55,19.18,32.59,22.75,0.81,4.26
"1980-05-09",0.57,83.3,19.38,33.22,22.69,0.67,4.17
"1980-05-10",3.9,88.48,19.17,32.44,23.05,1.09,3.95
"1980-05-11",10.3,81.18,21.96,32.72,23.34,1.21,4.9
"1980-05-12",0.65,78.59,23.28,32.75,23.73,1.33,5.33
"1980-05-13",0.35,82.6,21.24,33.19,23.78,1.02,4.64
"1980-05-14",15.32,85.52,16.97,31.78,22.91,1.42,3.93
"1980-05-15",4.34,87.28,16.58,32.03,22.62,1,3.66
"1980-05-16",3.51,86.97,15.38,31.94,23.22,0.95,3.43
"1980-05-17",9.95,87.38,16.28,30.73,21.83,1.12,3.32
"1980-05-18",1.83,81.9,20.62,32.31,22.59,1.09,4.44
"1980-05-19",3.13,86.45,11.99,31.84,22.92,1.2,3.06
"1980-05-20",4.84,81.04,20.46,32.97,22.69,1.05,4.38
"1980-05-21",0.33,80.92,21.05,32.81,22.81,1.15,4.65
"1980-05-22",1.24,81.62,19.71,32.97,23.5,0.87,4.2
"1980-05-23",3.73,78.97,19.24,32.06,23.47,1.61,4.6
"1980-05-24",18.44,93.6,9.29,29.02,22.48,1.25,1.88
"1980-05-25",3.89,85.8,16.86,31.33,22.27,0.94,3.51
"1980-05-26",1.53,83.1,19.65,31.7,22.64,1.04,4.18
"1980-05-27",0.38,79.45,19.3,32.16,22.53,0.89,4.5
"1980-05-28",5.25,86.77,13.68,31.39,22.75,0.83,3.12
"1980-05-29",5.68,87.68,14.18,31.08,22.25,0.74,2.96
"1980-05-30",8.6,88.91,13.02,31.34,21.98,0.8,2.87
"1980-05-31",1.31,93.61,9.42,29.72,21.42,0.46,1.97
"1980-06-01",18.48,88.55,11.23,30.98,22.36,0.68,2.36
"1980-06-02",0,86.05,13.66,31.34,23.08,0.87,3.11
"1980-06-03",5.58,88.91,12.12,30.52,22.48,0.98,2.61
"1980-06-04",4.73,89.64,15.5,30.45,22.31,1.12,3.14
"1980-06-05",12.18,90.02,9.45,29.47,21.69,1.17,2.14
"1980-06-06",0.73,89.91,12.1,30.59,22.58,1.12,2.39
"1980-06-07",2.26,82.26,19.67,31.31,21.92,0.71,3.95
"1980-06-08",0.95,85.01,15.23,31.42,22.41,0.99,3.45
"1980-06-09",4.06,86.59,12.23,30.16,22.61,1.13,2.63
"1980-06-10",0.92,81.48,14.46,31.61,23.2,0.93,3.31
"1980-06-11",1.58,89.46,8.49,28.72,22.3,1,1.88
"1980-06-12",1.79,80.25,21.11,31.48,21.89,1.1,4.43
"1980-06-13",1.2,78.44,21.46,32.38,21.98,0.71,4.52
"1980-06-14",0.03,83.66,20.11,31.81,22.97,0.62,4.04
"1980-06-15",3.79,84.52,19.03,31.91,22.92,0.57,3.85
"1980-06-16",0.2,80.97,15.8,31.62,22.38,1.17,3.56
"1980-06-17",1.96,86.75,14.47,30.47,21.73,1.51,3.23
"1980-06-18",3.65,84.6,16.95,31.53,22.5,0.76,3.66
"1980-06-19",1.14,85.44,15.81,31.92,22.02,0.78,3.47
"1980-06-20",10.2,85.9,12.12,30.78,22.23,0.67,2.68
"1980-06-21",9.54,88.76,11,30.45,21.7,0.49,1.94
"1980-06-22",5.48,86.81,14.25,31.48,21.52,0.73,3
"1980-06-23",1.82,84.38,19.71,31.5,21.89,0.5,3.95
"1980-06-24",0.85,85.7,15.97,30.98,21.78,0.48,3.09
"1980-06-25",9.29,83.72,16.18,31.25,22.53,1.16,3.48
"1980-06-26",3.71,85.55,16.46,31.47,22.97,1.09,3.37
"1980-06-27",1.9,79.41,21.46,31.89,22.33,1.31,4.6
"1980-06-28",0,78.7,21.57,32.41,21.3,0.55,4.28
"1980-06-29",0.8,91.11,13.89,31.05,21.64,1.29,2.93
"1980-06-30",7.69,85.55,16.85,31.44,21.56,0.84,3.58
"1980-07-01",3.19,91.07,8.18,26.91,22.39,0.76,1.83
"1980-07-02",8.91,86.2,14.08,30.91,21.22,0.61,2.94
"1980-07-03",7.11,87.19,13.96,29.62,21.23,1.44,2.95
"1980-07-04",15.71,89.55,8.79,27.42,21.2,1.61,1.95
"1980-07-05",2.03,91.13,9.9,26.55,20.19,1.13,2.08
"1980-07-06",0.1,85.87,14.53,29.69,20.58,0.73,2.96
"1980-07-07",17.47,89.73,12.62,30.5,21.11,0.92,2.73
"1980-07-08",10.41,86.63,18.47,31.36,21.47,0.62,3.61
"1980-07-09",1.44,83.5,18.32,32,21.83,0.66,3.74
"1980-07-10",7.62,80.77,20.67,31.83,21.75,0.94,4.32
"1980-07-11",2.01,83.94,20.24,31.97,21.19,0.82,4.12
"1980-07-12",1.04,77.52,16.65,31.72,21.61,1.02,3.72
"1980-07-13",1.74,86.79,14.6,30.03,21.61,0.82,3.01
"1980-07-14",3.78,84.22,20.18,31.89,20.86,0.89,3.84
"1980-07-15",0.78,83.12,20.5,32,22.23,0.61,4.15
"1980-07-16",0.78,83.84,18.87,32.62,21.7,0.63,3.8
"1980-07-17",3.74,82.06,19.75,32.16,22.08,0.93,4.26
"1980-07-18",2.03,83.88,17.93,32.53,21.75,1.08,3.82
"1980-07-19",1.11,80.48,20.16,32.09,21.42,1.11,4.34
"1980-07-20",0.34,79.59,20.66,32.59,21.97,0.85,4.56
"1980-07-21",0,77.32,21.22,32.59,22.67,1.07,4.61
"1980-07-22",0.34,70.87,22.26,33.62,21.62,0.45,4.55
"1980-07-23",0,78.06,17.96,32.78,22.12,0.61,3.75
"1980-07-24",1.87,91.07,9.42,29.44,22.22,0.84,1.99
"1980-07-25",14.97,83.75,18.88,32.75,21.23,0.83,3.84
"1980-07-26",1.04,82.01,19.63,31.98,21.98,0.84,4.04
"1980-07-27",0.04,77.37,22.23,32.81,22.25,1.51,4.92
"1980-07-28",0.02,78.39,22.36,32.47,22.97,1.03,4.79
"1980-07-29",0,73.77,21.67,33.44,22.52,0.89,4.76
"1980-07-30",0.39,82.08,18.1,33.22,23.7,1.11,4
"1980-07-31",1.26,84.49,9.98,29.44,22.27,1.56,2.61
"1980-08-01",6.35,87.17,14.87,30.67,21.72,1.25,2.32
"1980-08-02",0.83,88.48,10.07,26.98,20.77,0.94,2.05
"1980-08-03",3.93,89.27,11.43,29.91,20.59,0.77,2.07
"1980-08-04",2.09,80.85,20.46,31.92,21.38,0.73,4.2
"1980-08-05",0.49,85.54,12.52,31.55,21.88,0.8,2.51
"1980-08-06",1.22,78.49,18.88,32.81,23.45,0.64,4.13
"1980-08-07",0.88,86.72,13.51,31.88,23.61,0.53,2.79
"1980-08-08",1.72,79.09,19.86,32.5,22.62,1.11,4.51
"1980-08-09",1.2,80.94,19.6,33.03,21.17,0.67,4.19
"1980-08-10",9.8,87.92,10.09,30.17,21.5,0.95,2.36
"1980-08-11",11.07,89.06,12.87,31.81,21.98,0.7,2.84
"1980-08-12",3.9,87.06,13.02,30.69,21.95,0.47,2.76
"1980-08-13",0.04,80.26,20.01,32.12,22.45,0.6,4.24
"1980-08-14",0,78.1,22.47,33.12,21.86,0.71,4.71
"1980-08-15",0,80.89,15.99,32.25,22.58,0.71,3.6
"1980-08-16",2.11,80.68,20.33,32.94,22.22,1.07,4.52
"1980-08-17",0.03,76.14,23.06,33.5,22.52,1.11,5.16
"1980-08-18",0.98,73.41,20.7,33.94,23.2,0.83,4.82
"1980-08-19",0.12,78.03,16.47,33.59,23.09,0.6,3.77
"1980-08-20",0.15,85.38,17.19,32.41,21.86,0.89,4.22
"1980-08-21",1.05,85.69,14.83,33.03,22.45,1.02,3.13
"1980-08-22",4.27,85.09,20.2,31.89,21.91,0.97,4.06
"1980-08-23",0.15,78.76,21.95,33.72,21.25,0.78,4.58
"1980-08-24",0.01,77.24,22.89,33.84,22.17,0.74,4.75
"1980-08-25",1.14,84.85,19.25,33.34,22.53,1.27,4.27
"1980-08-26",5.62,82.13,18.44,32.41,22.16,0.75,3.86
"1980-08-27",0.12,87.06,14.27,31.91,23.19,1.2,3.13
"1980-08-28",13.12,85.33,13.8,31.72,22.06,1.2,3.79
"1980-08-29",9.92,80.18,14.29,31.34,21.97,0.68,4.78
"1980-08-30",10.93,87.13,13.69,30.34,21.17,0.78,2.52
"1980-08-31",4.17,81.02,20.03,31.92,21.28,0.85,4.3
"1980-09-01",0.59,82.52,18.39,32.53,21.14,0.46,3.84
"1980-09-02",1.08,79.75,17.64,33.12,22.73,0.63,4.1
"1980-09-03",0.04,77.14,21.8,34.03,23.39,0.61,4.68
"1980-09-04",0,79.15,18.59,33.41,23.02,1.01,4.06
"1980-09-05",1.28,82.32,17.99,33.88,22.27,0.83,3.94
"1980-09-06",7.34,89.54,11.37,30.47,22.56,0.95,2.41
"1980-09-07",13.6,77.17,19.05,33,22.3,1.1,4.22
"1980-09-08",0.91,74.8,23.83,33.34,22.42,1.31,5.45
"1980-09-09",0,74.01,23.06,33.59,22.66,1.32,5.09
"1980-09-10",0.06,82.66,19.19,32.84,22.3,1.23,4.22
"1980-09-11",0.01,80.54,20.74,33.09,22.8,1.16,4.61
"1980-09-12",1.86,82.18,15.96,33.16,22.83,0.77,3.53
"1980-09-13",1.03,84.95,17.08,32.09,21.78,0.79,3.53
"1980-09-14",2.49,88.51,14.9,32.03,22.14,0.76,2.96
"1980-09-15",6.68,76.94,22.8,33.81,22.36,1.15,5.03
"1980-09-16",1.8,79.94,21.35,33.84,23.19,1.86,5.06
"1980-09-17",3.32,84.73,10.67,27.98,21.72,1.96,2.61
"1980-09-18",1.18,81.93,12.54,29.52,20.89,1.25,2.99
"1980-09-19",0.01,81.46,19.01,32.72,21.69,1.42,4.34
"1980-09-20",0.24,79.29,21.78,33,21.47,0.96,4.27
"1980-09-21",0.07,78.14,23.23,33.88,21.95,1.35,4.88
"1980-09-22",0.04,74.44,22.49,34.75,23.36,1.32,5.08
"1980-09-23",2.34,78.39,16.48,33.06,23.55,1.08,3.96
"1980-09-24",3.46,89.52,10.81,30.48,21.81,1.16,2.34
"1980-09-25",2.56,83.44,15.87,32.25,22.34,0.83,3.36
"1980-09-26",0.09,79.49,22.64,33.5,22.28,0.91,4.82
"1980-09-27",1.42,81.18,15.98,33.31,22.61,1.19,3.79
"1980-09-28",2.62,81.7,12.04,30.98,22.11,1.08,2.9
"1980-09-29",0.31,82.99,16.66,32.88,23.53,1.3,3.85
"1980-09-30",2.58,80.25,22.38,34.53,22.53,1.08,4.84
"1980-10-01",0.79,74.52,21.31,34.78,23.91,1.33,5.11
"1980-10-02",0.14,77.73,13.41,33.47,23.39,1.28,3.52
"1980-10-03",2.84,89.74,11.42,29.95,21.05,1.66,2.39
"1980-10-04",8.88,79.61,22.19,32.78,21.98,1.13,4.93
"1980-10-05",0.43,87.43,17.54,32.28,23.19,1.22,3.68
"1980-10-06",6.21,83.51,17.99,31.92,22,0.93,4.26
"1980-10-07",11.13,85.27,11.68,29.91,21.77,0.65,2.91
"1980-10-08",4.13,80.81,20.03,32.81,22.89,0.76,4.31
"1980-10-09",0.94,79.55,18.72,33.75,22.95,0.99,4.28
"1980-10-10",3.42,85.58,12.78,30.23,23.42,1.14,2.77
"1980-10-11",14.76,85.88,10.66,29.08,22.69,0.81,2.39
"1980-10-12",1.95,83.15,18.28,32.69,21.72,0.87,3.64
"1980-10-13",0.4,87.34,13.96,31.34,22.3,0.98,2.89
"1980-10-14",4.25,83.63,19.34,33.09,22.56,1.41,4.23
"1980-10-15",1.53,83.98,13.16,33.19,22.34,1.08,3.14
"1980-10-16",11.52,90.32,9.74,27.91,21.64,0.8,2.24
"1980-10-17",5.14,83.98,19.95,31.7,21.77,1.29,4.43
"1980-10-18",2.47,81.88,20.44,31.98,21.42,1.46,4.06
"1980-10-19",8.84,86.38,17.27,33.09,22.59,0.89,3.33
"1980-10-20",4.36,81.77,21.32,32.44,22.73,1.37,4.55
"1980-10-21",0.09,82.01,20.58,32.69,23.3,1.02,4.34
"1980-10-22",2.46,78.78,18.6,33.22,23.22,0.89,4.28
"1980-10-23",0.17,85.78,10.39,29.91,22.98,0.97,2.42
"1980-10-24",11.27,85.08,16.76,32,23.23,1.6,3.85
"1980-10-25",4.38,85.51,11.5,31,23.41,0.59,2.53
"1980-10-26",4.26,83.24,12.21,26.66,22.59,1.01,4.17
"1980-10-27",7,84.02,17.15,31.89,22.25,0.99,3.56
"1980-10-28",0.08,77.15,20.11,33.28,22.89,0.89,4.45
"1980-10-29",0,74.85,23.93,34.12,22.8,1.03,5.28
"1980-10-30",0,80.68,16.88,34.25,24.16,1.03,3.35
"1980-10-31",1.42,86.65,10.94,31.62,23.81,1.32,2.28
"1980-11-01",8.15,84.68,12.37,30.16,23.09,1.26,2.68
"1980-11-02",2.56,85.1,13.54,30.67,21.72,0.54,2.26
"1980-11-03",16.83,84.59,15.28,33,21.27,0.89,3.48
"1980-11-04",0.74,90.89,11.6,31.66,22.64,1.16,2.62
"1980-11-05",7.77,84.31,13.08,31.77,22.67,1.38,3.36
"1980-11-06",3.68,82.66,17.61,32.62,22.28,0.85,3.53
"1980-11-07",3.94,85.01,10.24,31,22.66,2,2.56
"1980-11-08",0.85,82.02,14.88,32.06,22.61,1.26,3.22
"1980-11-09",0.01,79.32,23.28,34.19,23.41,1.29,5.02
"1980-11-10",0.02,86.3,12.76,33.31,21.98,1.48,2.98
"1980-11-11",8.92,81.73,16.88,31.36,22.55,1.3,3.93
"1980-11-12",1.23,86.93,11.29,30.02,21.66,1.37,3.29
"1980-11-13",25.67,85.85,16.77,31.14,22.17,0.8,3.49
"1980-11-14",17.66,90.32,9.92,29.12,21.61,1.17,2.25
"1980-11-15",9.93,89.36,14.77,29.77,21.55,1.6,3.2
"1980-11-16",2.5,87.86,13.3,29.61,22.36,1.08,3.05
"1980-11-17",3.95,86.03,14.12,30.31,21.64,1.79,3.31
"1980-11-18",2.65,85.5,14.03,31,22.5,1.19,2.8
"1980-11-19",4.57,83.52,18.36,31.08,23.06,1.14,4.39
"1980-11-20",0.09,91.79,11.46,30,22.52,1.26,2.32
"1980-11-21",5.16,85.16,16.45,30.16,22.03,1.25,3.49
"1980-11-22",1.64,79.38,22.04,32.91,22.11,0.83,4.76
"1980-11-23",1.68,79.46,23.93,33.5,21.89,0.95,4.75
"1980-11-24",2.33,78.17,20.72,33.72,22.89,1.16,4.67
"1980-11-25",28.95,92.31,11.08,28.27,22.78,0.86,2.35
"1980-11-26",28.42,87.9,12.37,31.25,22.45,1,2.72
"1980-11-27",2.8,87.23,15.87,31.14,22.03,1.1,3.12
"1980-11-28",0.58,81.15,18.6,32.06,22.25,0.82,4.03
"1980-11-29",0,80.92,20.86,33.22,22.56,0.98,4.74
"1980-11-30",0,79.87,19.18,33.84,23.25,0.97,4.69
"1980-12-01",0.12,82.29,13.47,30.98,23.19,0.63,3
"1980-12-02",1.15,81.01,18.23,32.53,22.44,1.24,4.34
"1980-12-03",0.03,80.22,17.33,32.44,24.08,0.68,3.88
"1980-12-04",0.08,91.45,9.35,29.3,22.53,1.02,2.22
"1980-12-05",2.71,87.11,18.71,31.44,22.38,0.8,3.73
"1980-12-06",3.28,83.26,16.29,31.47,22.86,0.98,3.56
"1980-12-07",5.3,81.1,21.15,32.94,22.78,0.88,4.53
"1980-12-08",0,72.82,21.32,33.53,22.7,0.84,4.81
"1980-12-09",0.22,81.83,21.69,32.94,22.42,1.07,4.51
"1980-12-10",0.21,83.05,18.76,32.12,23.08,1.44,4.07
"1980-12-11",0.82,79.74,20,33.69,22.69,0.9,4.44
"1980-12-12",0.38,84.59,16.93,33.38,22.39,1.06,3.87
"1980-12-13",2.53,85.15,13.27,31.69,22.69,0.93,2.81
"1980-12-14",0,85.18,15.51,32.16,23.12,0.56,3.41
"1980-12-15",6.09,88.43,13.45,31.22,22.89,0.91,2.92
"1980-12-16",2.2,84.11,18.97,31.45,22.25,0.89,4.16
"1980-12-17",5.73,89.67,11.37,29.97,22.39,1,2.43
"1980-12-18",4.05,81.35,20.53,32.22,22.52,1.01,4.42
"1980-12-19",0.79,78.87,22.03,32.75,22.81,1.44,4.96
"1980-12-20",0,81.77,12.97,31.3,22.88,1.53,3.24
"1980-12-21",0.14,89.29,9.61,28.67,22.23,1.24,2.22
"1980-12-22",24.86,95.18,10.04,25.75,22.45,1.07,1.96
"1980-12-23",11.94,87.53,14.16,29.97,21.92,0.92,2.99
"1980-12-24",4.78,88.31,11.21,29.14,22.19,1.81,2.5
"1980-12-25",22.73,89.61,11.56,27.03,22.69,1.02,2.28
"1980-12-26",18.25,86.86,15.76,30.36,22.2,1.64,3.56
