days since 1900-1-1;spei
1901-01-16;NA
1901-02-15;NA
1901-03-16;-1.6651
1901-04-16;-2.0822
1901-05-16;-1.355
1901-06-16;-1.7031
1901-07-16;0.21062
1901-08-16;-0.014714
1901-09-16;0.25521
1901-10-16;-2.2529
1901-11-16;-2.3921
1901-12-16;-2.2239
1902-01-16;-2.0084
1902-02-15;-0.87157
1902-03-16;-0.26607
1902-04-16;-0.27393
1902-05-16;-1.3374
1902-06-16;-2.0773
1902-07-16;-1.97
1902-08-16;0.24479
1902-09-16;1.53
1902-10-16;1.7416
1902-11-16;-1.4044
1902-12-16;-1.5713
1903-01-16;-1.4925
1903-02-15;-1.1063
1903-03-16;-1.0345
1903-04-16;-1.4439
1903-05-16;-1.5468
1903-06-16;-1.9534
1903-07-16;-1.9375
1903-08-16;-2.0873
1903-09-16;-1.121
1903-10-16;-1.0975
1903-11-16;-1.3354
1903-12-16;-1.4392
1904-01-16;-0.87809
1904-02-15;-0.12887
1904-03-16;-0.68622
1904-04-16;-1.4934
1904-05-16;-1.5563
1904-06-16;-1.2679
1904-07-16;-0.86509
1904-08-16;-1.1606
1904-09-16;-1.1712
1904-10-16;-0.75906
1904-11-16;-1.3778
1904-12-16;-1.492
1905-01-16;-1.5082
1905-02-15;-0.60068
1905-03-16;-0.94855
1905-04-16;-1.5796
1905-05-16;-2.1719
1905-06-16;-1.9109
1905-07-16;-1.92
1905-08-16;-1.5945
1905-09-16;-0.93517
1905-10-16;0.41131
1905-11-16;0.45865
1905-12-16;0.26704
1906-01-16;-0.47437
1906-02-15;-1.7512
1906-03-16;-1.9728
1906-04-16;-1.947
1906-05-16;-1.5768
1906-06-16;-1.9753
1906-07-16;-2.5534
1906-08-16;-2.4247
1906-09-16;-1.2402
1906-10-16;-1.352
1906-11-16;-1.7513
1906-12-16;-2.2009
1907-01-16;-1.5266
1907-02-15;-1.9381
1907-03-16;-0.9614
1907-04-16;-0.95314
1907-05-16;-0.34122
1907-06-16;-1.0019
1907-07-16;-1.1326
1907-08-16;-1.4798
1907-09-16;-1.4221
1907-10-16;-1.6131
1907-11-16;-0.48623
1907-12-16;-0.99401
1908-01-16;0.11873
1908-02-15;-0.2565
1908-03-16;0.80517
1908-04-16;0.31315
1908-05-16;-0.3595
1908-06-16;-1.2987
1908-07-16;-1.9531
1908-08-16;-1.9461
1908-09-16;-1.9975
1908-10-16;-1.1605
1908-11-16;-0.3887
1908-12-16;-0.27603
1909-01-16;-0.24446
